station_id;station_number;name;capacity;coordinates
79;1074060095;Lally-Tollendal - Armand Carrel;28;POINT(48.8827006622 2.37471755594)
80;471094898;Olivier de Serres - Leriche;25;POINT(48.8346022172 2.2957482934)
81;653180903;Paix - Verdun;35;POINT(48.900504 2.261173)
82;101759167;Lecourbe - Convention;46;POINT(48.8392331924 2.29151979089)
83;27363389;Bercy - Traversiére;30;POINT(48.8461926426 2.37038008869)
84;66491382;Guy Môquet - Compoint;36;POINT(48.8921355904 2.32321947813)
85;7234;Colonel Pierre Avia;29;POINT(48.8296843301 2.27534258685)
86;54000631;Victor Hugo - Bineau;25;POINT(48.8875822589 2.27838903666)
87;27415333;Crimée - Ourcq;56;POINT(48.8941041403 2.37294608847)
88;125881065;Metz - Marne;33;POINT(48.891163 2.3865705)
89;99950133;André Mazet - Saint-André des Arts;55;POINT(48.8537558106 2.33909580857)
90;599135701;Ramponeau - Belleville;44;POINT(48.8710311376 2.37905685211)
91;54000612;Cambrai - Benjamin Constant;43;POINT(48.8959473685 2.38113380225)
92;2254322638;Verdun - Pierre et Marie Curie;0;POINT(48.812909 2.370697)
93;128887067;Ségur - d'Estrées;19;POINT(48.851419979 2.30970449746)
94;72765603;Boulangers - Cardinal Lemoine;20;POINT(48.8462904 2.3521495)
95;37815993;Mutualité;37;POINT(48.8482255727 2.35028732568)
96;27414601;Saint-François-Xavier;42;POINT(48.8515448477 2.31461495161)
97;596872103;Lucie Aubrac - Fort;30;POINT(48.818144834 2.27118462324)
98;213679512;Sibelle - Alésia;25;POINT(48.8267017585 2.33849834651)
99;85147829;Hôtel de Ville;26;POINT(48.8349588517 2.24168032408)
100;631773910;Carnot - Pâquerettes;26;POINT(48.7959293943 2.42618411779)
101;213680917;Abbé Carton - Plantes;25;POINT(48.8276738232 2.3209181428)
102;390212609;Théophile Gautier - François Millet;30;POINT(48.8503482132 2.27302998304)
103;129121741;Belleville - Couronnes;50;POINT(48.8688310829 2.38098621368)
104;567884788;Vincent Auriol - Louise Weiss;22;POINT(48.8340019355 2.37038880587)
105;54000597;Bayen - Pereire;22;POINT(48.8818044091 2.29210887104)
106;571923059;Bordier - Félix Faure;48;POINT(48.9039075188 2.38300591707)
107;394404659;Gare Saint-Lazare - Cour du Havre;46;POINT(48.8756744009 2.32655983418)
108;54000595;Navier - Epinettes;36;POINT(48.8958778077 2.32267767191)
109;437597018;Invalides - Duroc;29;POINT(48.8477924733 2.31619209051)
110;129114993;Belleville - Porte des Lilas;32;POINT(48.8766039189 2.40476969113)
111;82328045;Victoria - Place du Chatelet;22;POINT(48.8579925915 2.34691679478)
112;255207155;Lassus - Delouvain;20;POINT(48.8755044846 2.38903273255)
113;29327;Stade Auguste Delaune;21;POINT(48.8089637868 2.43452042341)
114;653127524;Gustave Eiffel - Parc des Impressionnistes;30;POINT(48.9039061965 2.2946908325)
115;66491408;Calmette;32;POINT(48.881049251 2.42499321699)
116;100902274;Roquépine - Malesherbes;37;POINT(48.8734507339 2.32040449977)
117;27415215;Romain Rolland;25;POINT(48.8202152297 2.32341442344)
118;129161858;République - Henri Barbusse;32;POINT(48.9066155363 2.38943248987)
119;653035822;Jeûneurs - Mulhouse;28;POINT(48.868997 2.346925)
120;66491368;Sorbonne - Ecoles;50;POINT(48.8496865662 2.34349966049)
121;1056986761;Terroirs de France - Lheureux;55;POINT(48.8321202707 2.38861810416)
122;284711589;Beaumarchais - Pas de la Mule;18;POINT(48.855580507 2.36843336734)
123;1056995858;Gergovie - Vercingétorix;29;POINT(48.8345341388 2.31315454743)
124;52456;Pré Saint-Gervais - Lilas;28;POINT(48.877870627 2.39590734243)
125;27415123;Boussingault - Tolbiac;28;POINT(48.8260351661 2.342176808)
126;404947652;Place Fernand Forest;33;POINT(48.8492691438 2.28186316788)
127;1057179405;Résistance - Hoche;30;POINT(48.8642734237 2.43578441441)
128;653080383;Bruneseau - Quai d'Ivry;48;POINT(48.8249456376 2.38856613636)
129;303452950;Hôtel de Ville de Fontenay-aux-Roses;34;POINT(48.7908446035 2.28714559303)
